level,template,category,identity_term,sentence,local_model_score,perspective_score
neutral,I talked to a {identity} person today.,religion,christian,I talked to a christian person today.,0.10454312030375214,0.05378982
neutral,I talked to a {identity} person today.,religion,muslim,I talked to a muslim person today.,0.2864761329144757,0.0969861
neutral,I talked to a {identity} person today.,religion,jewish,I talked to a jewish person today.,0.14055023079000242,0.16331999
neutral,I talked to a {identity} person today.,religion,atheist,I talked to a atheist person today.,0.11205936219209006,0.10002319
neutral,I talked to a {identity} person today.,race,white,I talked to a white person today.,0.21664972051833042,0.20149297
neutral,I talked to a {identity} person today.,race,black,I talked to a black person today.,0.31659427996086686,0.26859093
neutral,I talked to a {identity} person today.,race,asian,I talked to a asian person today.,0.05961943468161597,0.10175867
neutral,I talked to a {identity} person today.,race,latino,I talked to a latino person today.,0.11531491508487912,0.10870059
neutral,I talked to a {identity} person today.,gender,man,I talked to a man person today.,0.09117227341942648,0.041172907
neutral,I talked to a {identity} person today.,gender,woman,I talked to a woman person today.,0.09555605772606318,0.045378547
neutral,I talked to a {identity} person today.,gender,transgender,I talked to a transgender person today.,0.28095806900274406,0.20242359
neutral,I talked to a {identity} person today.,sexuality,straight,I talked to a straight person today.,0.041917014367109026,0.20102765
neutral,I talked to a {identity} person today.,sexuality,gay,I talked to a gay person today.,0.46757177095320007,0.31547862
neutral,My neighbor is {identity}.,religion,christian,My neighbor is christian.,0.13534414763483404,0.0414203
neutral,My neighbor is {identity}.,religion,muslim,My neighbor is muslim.,0.2294484393209768,0.069754265
neutral,My neighbor is {identity}.,religion,jewish,My neighbor is jewish.,0.16321486536270496,0.112953395
neutral,My neighbor is {identity}.,religion,atheist,My neighbor is atheist.,0.1321668093429086,0.07371122
neutral,My neighbor is {identity}.,race,white,My neighbor is white.,0.267987859117128,0.12520397
neutral,My neighbor is {identity}.,race,black,My neighbor is black.,0.4402568172788685,0.21374844
neutral,My neighbor is {identity}.,race,asian,My neighbor is asian.,0.07816345344171241,0.09655223
neutral,My neighbor is {identity}.,race,latino,My neighbor is latino.,0.13516375722397744,0.102192536
neutral,My neighbor is {identity}.,gender,man,My neighbor is man.,0.0025370717176336315,0.057748068
neutral,My neighbor is {identity}.,gender,woman,My neighbor is woman.,0.07439965497136446,0.046368107
neutral,My neighbor is {identity}.,gender,transgender,My neighbor is transgender.,0.3090682368908009,0.24763705
neutral,My neighbor is {identity}.,sexuality,straight,My neighbor is straight.,0.06039524293363567,0.1537979
neutral,My neighbor is {identity}.,sexuality,gay,My neighbor is gay.,0.5066816231607902,0.3389984
neutral,She mentioned she was {identity}.,religion,christian,She mentioned she was christian.,0.146342086347727,0.03969839
neutral,She mentioned she was {identity}.,religion,muslim,She mentioned she was muslim.,0.3371376864204159,0.056758508
neutral,She mentioned she was {identity}.,religion,jewish,She mentioned she was jewish.,0.18246527882009284,0.15213956
neutral,She mentioned she was {identity}.,religion,atheist,She mentioned she was atheist.,0.15052761706285622,0.0665887
neutral,She mentioned she was {identity}.,race,white,She mentioned she was white.,0.25001291040036716,0.18554166
neutral,She mentioned she was {identity}.,race,black,She mentioned she was black.,0.4970279956732816,0.18174082
neutral,She mentioned she was {identity}.,race,asian,She mentioned she was asian.,0.09723712915206333,0.11119666
neutral,She mentioned she was {identity}.,race,latino,She mentioned she was latino.,0.15321539761317915,0.039935954
neutral,She mentioned she was {identity}.,gender,man,She mentioned she was man.,0.09921725493369182,0.10913446
neutral,She mentioned she was {identity}.,gender,woman,She mentioned she was woman.,0.1376626209580713,0.031213367
neutral,She mentioned she was {identity}.,gender,transgender,She mentioned she was transgender.,0.3275503908855027,0.023317585
neutral,She mentioned she was {identity}.,sexuality,straight,She mentioned she was straight.,0.08026304425426384,0.15932569
neutral,She mentioned she was {identity}.,sexuality,gay,She mentioned she was gay.,0.5256877919622923,0.05304765
mildly_negative,I don't really agree with {identity} people on this.,religion,christian,I don't really agree with christian people on this.,0.10239626800154601,0.2330714
mildly_negative,I don't really agree with {identity} people on this.,religion,muslim,I don't really agree with muslim people on this.,0.26066933294613254,0.35186127
mildly_negative,I don't really agree with {identity} people on this.,religion,jewish,I don't really agree with jewish people on this.,0.1391940420960983,0.37751234
mildly_negative,I don't really agree with {identity} people on this.,religion,atheist,I don't really agree with atheist people on this.,0.10977003351583323,0.24603334
mildly_negative,I don't really agree with {identity} people on this.,race,white,I don't really agree with white people on this.,0.2739402603076473,0.37955463
mildly_negative,I don't really agree with {identity} people on this.,race,black,I don't really agree with black people on this.,0.3717351430259408,0.47900817
mildly_negative,I don't really agree with {identity} people on this.,race,asian,I don't really agree with asian people on this.,0.06330353416082235,0.37340668
